Site,Transect,Date,Month,Year,Live coral,Dead framework,Other live,Sand/Silt,Rubble/Gravel,Rock_Pavement,Fleshy algae,Coralline algae,Turf algae,Tape/Shadow
MartiniBay,A,11/05/2021,5,2021,62.18181818,0.181818182,4.181818182,7.272727273,0.181818182,4,0,0.363636364,21.27272727,0.363636364
MartiniBay,B,11/05/2021,5,2021,69.45454545,0.181818182,1.272727273,11.45454545,0.363636364,2.363636364,0,0,14.90909091,0
MartiniBay,C,11/05/2021,5,2021,51.27272727,2.363636364,2.545454545,17.81818182,0.909090909,8.727272727,0,0,16.18181818,0.181818182
MartiniBay,D,11/05/2021,5,2021,51.09090909,0.727272727,4,14.54545455,2.545454545,10.90909091,0,0,16.18181818,0
MartiniBay,E,11/05/2021,5,2021,54.54545455,0.545454545,6.181818182,12.18181818,4,8.181818182,0,0,14.36363636,0
MartiniBay,F,11/05/2021,5,2021,49.63636364,0.181818182,3.818181818,12,4.727272727,15.45454545,0,0.363636364,13.81818182,0
MartiniBay,A,04/09/2021,9,2021,9.454545455,17.63636364,7.636363636,4.727272727,0.181818182,5.818181818,0.363636364,0.363636364,53.81818182,0
MartiniBay,B,04/09/2021,9,2021,18,12.72727273,3.090909091,9.090909091,0.909090909,6.181818182,0.181818182,0.181818182,49.63636364,0
MartiniBay,C,04/09/2021,9,2021,20.72727273,11.09090909,3.454545455,15.63636364,0.727272727,14,0.181818182,0,34.18181818,0
MartiniBay,D,04/09/2021,9,2021,24.54545455,10.36363636,7.636363636,15.81818182,0.727272727,18.18181818,0,0.545454545,22.18181818,0
MartiniBay,E,04/09/2021,9,2021,26.54545455,5.090909091,4.181818182,25.27272727,0.545454545,16,0,0.363636364,22,0
MartiniBay,F,04/09/2021,9,2021,34.18181818,2,5.090909091,24.90909091,2,16.36363636,0,0.363636364,15.09090909,0
MartiniBay,A,04/05/2022,5,2022,36,8,8.363636364,7.454545455,0.727272727,5.818181818,0.363636364,1.272727273,32,0
MartiniBay,B,04/05/2022,5,2022,29.63636364,15.63636364,8.363636364,2.909090909,0.545454545,10.54545455,0,2.363636364,29.81818182,0.181818182
MartiniBay,C,04/05/2022,5,2022,28.36363636,12.72727273,7.636363636,10.18181818,2,12.54545455,0,1.272727273,25.09090909,0.181818182
MartiniBay,D,04/05/2022,5,2022,21.09090909,12.72727273,6.727272727,11.81818182,2.363636364,25.45454545,0,0.545454545,19.27272727,0
MartiniBay,E,04/05/2022,5,2022,32.36363636,4.909090909,11.09090909,11.09090909,2.181818182,21.27272727,0,0.545454545,16.54545455,0
MartiniBay,F,04/05/2022,5,2022,24,4.181818182,7.818181818,17.81818182,7.818181818,25.63636364,0,0.181818182,12.54545455,0
MartiniWall,A,11/05/2021,5,2021,71.63636364,0,2.181818182,13.63636364,0.363636364,1.090909091,0,0,10.72727273,0.363636364
MartiniWall,B,11/05/2021,5,2021,86,0.181818182,0.727272727,4.363636364,0,1.454545455,0,0,6.727272727,0.545454545
MartiniWall,C,11/05/2021,5,2021,82,0,6,3.090909091,0.545454545,1.090909091,0,0,6.363636364,0.909090909
MartiniWall,D,11/05/2021,5,2021,81.81818182,0,2.727272727,6.181818182,0.545454545,2.545454545,0,0.181818182,5.272727273,0.727272727
MartiniWall,E,11/05/2021,5,2021,68.36363636,0,11.09090909,2,0.545454545,11.45454545,0,0,6.181818182,0.363636364
MartiniWall,F,11/05/2021,5,2021,60.36363636,0.545454545,4.727272727,4.727272727,1.636363636,7.636363636,0,0,18.90909091,1.454545455
MartiniWall,A,04/09/2021,9,2021,36.90909091,10.90909091,1.454545455,12.18181818,0.727272727,2.363636364,0,0,35.45454545,0
MartiniWall,B,04/09/2021,9,2021,45.81818182,7.636363636,2.363636364,5.636363636,0.181818182,4.181818182,0,0,34.18181818,0
MartiniWall,C,04/09/2021,9,2021,52,5.090909091,0.909090909,11.45454545,0.181818182,4.181818182,0,0,26.18181818,0
MartiniWall,D,04/09/2021,9,2021,40.18181818,2,2.181818182,13.81818182,0.727272727,18.54545455,0,1.636363636,20.90909091,0
MartiniWall,E,04/09/2021,9,2021,49.45454545,1.818181818,2.363636364,5.090909091,1.090909091,22.72727273,0,1.636363636,15.63636364,0.181818182
MartiniWall,F,04/09/2021,9,2021,41.63636364,2.909090909,4.181818182,10.54545455,4.181818182,18.36363636,0,1.636363636,16.54545455,0
MartiniWall,A,04/05/2022,5,2022,44.54545455,6.727272727,4,10.18181818,2,10.72727273,0,1.818181818,20,0
MartiniWall,B,04/05/2022,5,2022,65.27272727,2.363636364,4.727272727,10.72727273,2,3.272727273,0,0.363636364,11.27272727,0
MartiniWall,C,04/05/2022,5,2022,53.45454545,2.545454545,6.363636364,6.363636364,0.545454545,6.181818182,0.727272727,2,21.81818182,0
MartiniWall,D,04/05/2022,5,2022,30.90909091,7.454545455,7.818181818,2.363636364,1.090909091,12.72727273,0.363636364,4.545454545,32.72727273,0
MartiniWall,E,04/05/2022,5,2022,52.72727273,0.181818182,6.363636364,3.454545455,1.272727273,26.36363636,0,0.909090909,8.727272727,0
MartiniWall,F,04/05/2022,5,2022,58.18181818,4,6,5.272727273,1.636363636,15.81818182,0,0,9.090909091,0
SBN-N,A,18/05/2021,5,2021,34.36363636,0,9.818181818,10.54545455,1.818181818,10,0,2.181818182,31.09090909,0.181818182
SBN-N,B,18/05/2021,5,2021,27.45454545,0,9.090909091,17.27272727,3.818181818,7.454545455,0,2.727272727,32.18181818,0
SBN-N,C,18/05/2021,5,2021,35.27272727,0.181818182,3.636363636,11.45454545,6,12,0,1.818181818,29.63636364,0
SBN-N,D,18/05/2021,5,2021,43.09090909,0.181818182,8.181818182,10.72727273,3.818181818,8.909090909,0,1.636363636,23.45454545,0
SBN-N,E,18/05/2021,5,2021,39.09090909,0,2.545454545,11.63636364,4,15.09090909,0,1.272727273,26.36363636,0
SBN-N,F,18/05/2021,5,2021,41.27272727,0,4.727272727,12.90909091,2.545454545,12.72727273,0,1.636363636,24.18181818,0
SBN-N,A,19/09/2021,9,2021,12,8,2.727272727,28,8.545454545,7.090909091,0.181818182,1.818181818,31.63636364,0
SBN-N,B,19/09/2021,9,2021,12.18181818,6.545454545,1.636363636,17.45454545,5.818181818,9.636363636,0,4.363636364,42.36363636,0
SBN-N,C,19/09/2021,9,2021,11.27272727,5.818181818,1.636363636,30.72727273,9.272727273,11.81818182,0,1.636363636,27.81818182,0
SBN-N,D,19/09/2021,9,2021,10.18181818,3.090909091,1.454545455,28,8.545454545,11.63636364,0,0.909090909,36,0.181818182
